VilLain	citeseer_cite	COMPLETE	2026-09-15T19:06:01+09:00
VilLain	cora_coauth	COMPLETE	2026-09-15T19:06:15+09:00
VilLain	imdb	COMPLETE	2026-09-15T19:06:27+09:00
VilLain	house	SKIP_EXISTING	2026-09-15T19:06:27+09:00
VilLain	pubmed_cite	COMPLETE	2026-09-15T19:06:43+09:00
VilLain	aminer	COMPLETE	2026-09-15T19:07:08+09:00
VilLain	dblp_coauth	FAILED_1	2026-09-15T19:07:10+09:00
VilLain	modelnet_40	FAILED_1	2026-09-15T19:07:12+09:00
VilLain	news	FAILED_1	2026-09-15T19:07:14+09:00
VilLain	cora_cite	SKIP_NO_EMB	2026-09-15T19:07:14+09:00
VilLain	dblp_copub	SKIP_NO_EMB	2026-09-15T19:07:14+09:00
